bookid	responseid	num_sentences	Emotional_impact	Narrative_feeling	Reflection	Aesthetic_feeling	All
41143	398069	5	3	0	0	3	6
41143	398070	5	0	1	0	2	3
41143	398087	5	1	0	0	0	1
41143	398093	5	1	4	0	1	6
41143	398096	5	1	1	0	0	2
41143	398110	5	3	2	0	1	6
41143	398124	5	2	2	0	1	5
41143	398128	5	2	1	0	0	3
41143	398132	5	2	2	0	0	4
41143	398139	5	1	2	0	0	3
41143	398142	5	1	2	0	1	4
41143	398145	5	0	2	0	0	2
41143	398146	5	0	2	0	1	3
41143	398148	5	0	0	0	1	1
41143	398155	5	0	3	0	1	4
41143	398161	5	3	1	0	1	5
41143	398164	5	3	2	0	0	5
41143	398182	5	4	3	0	0	7
41143	398184	5	2	1	0	0	3
41143	398185	5	2	1	0	1	4
41143	398205	5	0	0	0	2	2
41143	398219	5	2	1	0	0	3
41143	398228	5	1	2	1	1	5
41143	398236	5	0	0	0	0	0
41143	398245	5	3	2	0	3	8
41143	398267	5	1	1	1	0	3
41143	398272	5	0	0	0	0	0
41143	398273	5	3	1	1	0	5
41143	398279	5	2	0	0	2	4
41143	398289	5	1	1	0	0	2
41143	398313	5	0	1	1	0	2
41143	398343	5	2	2	0	1	5
41143	398351	5	0	1	0	0	1
41143	183509	4	1	2	0	0	3
41143	184293	4	0	1	0	0	1
41143	186885	4	5	0	0	2	7
41143	189525	4	0	2	0	1	3
41143	189805	4	0	1	0	0	1
41143	193564	4	0	2	0	1	3
41143	193727	4	1	0	1	0	2
41143	195780	4	1	1	2	0	4
41143	198593	4	0	0	0	0	0
41143	201601	4	0	1	0	1	2
41143	206279	4	1	1	1	0	3
41143	207128	4	2	1	0	1	4
41143	207416	4	1	3	0	1	5
41143	207695	4	0	0	0	1	1
41143	208127	4	0	3	0	1	4
41143	208230	4	0	2	0	2	4
41143	208939	4	0	0	0	0	0
41143	214000	4	0	0	0	2	2
41143	214464	4	0	1	0	1	2
41143	215210	4	2	0	0	0	2
41143	216622	4	0	0	1	0	1
41143	279820	4	1	0	0	0	1
41143	279826	4	0	0	0	1	1
41143	279827	4	2	1	0	0	3
41143	279828	4	2	1	0	0	3
41143	279829	4	1	0	0	2	3
41143	279834	4	1	1	0	1	3
41143	279841	4	1	1	1	3	6
41143	397209	4	0	0	0	1	1
41143	397224	4	1	0	0	0	1
41143	397229	4	1	2	0	0	3
41143	397249	4	0	4	0	1	5
41143	397255	4	2	0	0	0	2
41143	397260	4	1	1	0	1	3
41143	397266	4	2	2	0	0	4
41143	397274	4	0	1	0	0	1
41143	397282	4	2	3	1	1	7
41143	397289	4	1	0	0	1	2
41143	397291	4	2	0	0	2	4
41143	397293	4	0	0	0	0	0
41143	397298	4	0	2	0	1	3
41143	397300	4	0	1	0	0	1
41143	397319	4	0	0	0	2	2
41143	397323	4	0	1	0	2	3
41143	397330	4	1	0	0	3	4
41143	397342	4	2	1	0	2	5
41143	397346	4	1	0	1	0	2
41143	397354	4	1	1	0	1	3
41143	397358	4	0	0	1	1	2
41143	397363	4	2	0	0	0	2
41143	397365	4	0	3	0	1	4
